year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2001,2001-09-27,8:45 - 9:30,Mark Needleman (DRA),Circulation Interchange Protocol,"The talk will discuss the NISO Circulation Interchange Protocol (NCIP) and provide some details about its background, scope, and current status. It will also go into some technical detail of how the protocol actually operates and the technical design decisions that have been made in developing it.",talk,,,,
2001,2001-09-27,9:30 - 10:15,"Bill Moen (University of North Texas, Denton, TX)",Bath Profile Update,"The Bath Profile is a Z39.50 specification for library applications and resource discovery. This presentation provides a report on the current status of the Profile and issues that will be discussed at the Bath Profile meeting in October. It also discusses the relationship between the draft U.S. National Z39.50 Profile and the Bath Profile. Drawing upon research by Slavko Manojlovich, the presentation discusses the extent of support of Bath Profile specifications in a selection of current implementations of integrated library systems.",talk,,,,
2001,2001-09-27,10:45 - 11:30,Mark Needleman (DRA),XML Query and Z39.50,,talk,,,,
2001,2001-09-27,11:30 - 12:15,"Bill Moen (University of North Texas, Denton, TX)",Z39.50 Interoperability Testbed,"The Texas Center for Digital Knowledge at the University of North Texas is establishing a Z39.50 Interoperability Testbed. This presentation provides a status report on Z-Interop progress. It focuses on methods and procedures being used to prepare a test dataset of 400,000 records, test scenarios, benchmarks, and interoperability assessment. The first phase of testing is scheduled for this fall.",talk,,,,
2001,2001-09-27,1:15 - 2:15,Clifford Lynch (CNI),News from the Edge,"In the time-honored Access fashion, Clifford Lynch will provide a summary of the key technology issues affecting libraries today.",talk,,,,
2001,2001-09-27,2:15 - 3:00,Glen Newton (CISTI),Duluth: A Virtual Library Portal Management System,"Duluth is a web-based system allowing web-naive domain experts to create parallel hierarchical taxonomies of web resources (URLs). Duluth allows these experts to uses these taxonomies to manage information, and users of the taxonomies to find this information. Users have a 'read-only' view, allowing them to navigate and search the taxonomy based on the classification labels ('subjects'), groupings (hierarchy-specific classification), and various URL resource metadata attributes, such as title, type, keyword, etc. Users can register interest in changes to parts of the taxonomy and have Duluth contact them periodically with these changes. The parallel taxonomies share a common metadata base of canonically classified URL resources. This allows for greater scaling of expensive and usually scarce human classification resources. Duluth presently supports two languages, English and French. Duluth is implemented in Java using the Java Servlet architecture, and is Open Sourced. It is the result of a research and development effort at CISTI.",talk,,,,
2001,2001-09-27,3:15 - 4:00,"Darryl Friesen (University of Saskatchewan, Saskatoon, SK)",eJournals from an IT Perspective,"From an IT perspective, the creation of an electronic journal database presents numerous choices and problems. Consideration must be given to the selection of a database server, database design, data acquisition, methods of access, and not least of all, maintenance. Using recent experiences gained while implementing the University of Saskatchewan Libraries' electronic journal database, these and other issues will be addressed, offering choices and highlighting potential pitfalls.",talk,,,,
2001,2001-09-27,4:00 - 4:45,Mark Leggott (University of Winnipeg),Fathom this Questia - eBrary’s Time Has Come?,"Online libraries like Questia and eBrary have been with us for over a year now, and the landscape is changing. While most of these services are still very much in the development stages, some, like Questia, are going through a 2nd generation of interface/service design. This session will look at the current state of ""commercial online library"" offerings and provide some suggestions as to their future and impact on more traditional libraries.",talk,,,,
2001,2001-09-27,5:00 - 6:00,,Birds of a Feather,,bof,,,,
2001,2001-09-28,8:45 - 9:30,"Eric Hellman (Openly Informatics, Inc.)",OpenURL Framework,"The proposed OpenURL standard is syntax to create web-transportable packages of metadata and/or identifiers about an information object. Such packages are at the core of context-sensitive or open link technology, which has recently become available in scholarly information systems. By standardizing the syntax, we will enable many other innovative user-specific services in this and other information fields. Conventional web links do not take into account the identity of the user: they take all users to the same target. This causes some problems. For example, when more than one institution provides access to copies of the same electronic article, the link from citation to full text should resolve to a copy that is accessible to the user. Since different users have access to different digital libraries, the link should resolve in a user-specific fashion. I will discuss the profound impact that link servers based on OpenURL such as SFX and 1Cate will have on digital library architecture. I will also discuss CrossRef and how you can use it today. Please see the OpenURL committee's homepage at <library.caltech.edu/openurl/> for more information.",talk,,,,
2001,2001-09-28,9:30 - 10:15,Norm Friesen,CanCore - Metadata for Learning Object Repositories,"""Metadata"", ""repositories,"" and ""educational objects"" are terms used to describe a new vision for the widespread sharing and reuse of digital educational resources for classroom and distance education settings. The purpose of this paper is to provide an overview of this vision, focusing specifically on the central role of metadata in facilitating the discovery, reuse and management of these educational resources. This overview will begin by introducing the concept of educational objects, and the metadata that can be used to describe them. The paper will then focus on the Canadian Core Protocol (CanCore) as a ready-made metadata solution with the potential of providing single-click access to distributed educational resources. Finally, it will describe how the Canadian Core can achieve this type of accessibility in the context of a variety of repository architectures and distribution models.",talk,,,,
2001,2001-09-28,10:45 - 11:30,"Peter Scott (University of Saskatchewan, Saskatoon, SK)",blogging - instant content for the web,,talk,,,,
2001,2001-09-28,11:30 - 12:15,Todd Holbrook | Mark Leggott (University of Winnipeg), eBooks and eBibs,,talk,,,,
2001,2001-09-28,1:15 - 2:00,Dave Lankes, QuIP - Question Interchange Protocol,,talk,,,,
2001,2001-09-28,2:00 - 2:45,Karen Hunt (University of Winnipeg),If systems are designed so damn well why do we need Information Literacy anyhow?,"We're still a long way from a transparent interface between people and information, but you may be able to imagine a day when the system understands the needs of a client without the client having to figure out the system. When that day comes will information literacy be irrelevant? This session will discuss the meaning of information literacy beyond an information technology perspective and introduce andragogy, social constructivism, and discuss the use of a portfolio for information literacy as an authentic assessment tool.",talk,,,,
