year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2010,2011-10-14,8:30-9:30,Hal Niedzviecki,What Libraries Can Learn from Peep Culture,"In the era of peep culture, we are learning to love watching ourselves and our neighbors. We are turning away from pre-scripted entertainments, from movies and books and pop music, and spending more and more time amusing ourselves by watching the real life travails of other people on Facebook, Twitter, webcam, YouTube, Reality TV and more. In this talk, Hal Niedzviecki will explore the lessons libraries can take away from participatory voyeurism as entertainment. He will focus, specifically, on how libraries might adopt new roles in the age of peep culture as facilitators, educators, and collectors. Niedzviecki will argue that libraries have an important role to play in the age of peep; a role they most embrace if they are to avoid becoming nothing more than free Internet terminals providing access to an endlessly crisscrossing, contradictory and experimental network of authorless opinion.",keynote,"internet culture, social media",,,
2010,2010-10-14,9:30-10:15,Lisa Fast (NeoInsight),Usability Testing and the Google Generation,"Usability testing sessions for a major university library site and other sites reveal a number of user behaviour patterns related to frequent use of Google. In this session, we'll present examples of those behaviours in clips from usability testing sessions, and discuss methods of working with those patterns rather than against them. These patterns influence a range of usability approaches on a site, from developing student research skills all the way to general navigation patterns (or lack thereof). Awareness of these types of behaviour trends and experience with the data from many users on different sites is one of the advantages of hiring professional usability consultants. However, there are many do-it-yourself options for usability testing - we'll discuss this range and the pros and cons of the various approaches.",talk,usability,,,
2010,2010-10-14,10:45-11:30,Daniel Brindle-Moczuk (U Victoria) | Peter Peller (U Calgary),Open Access / Source GIS & Open Access GeoSpatial Data,"At approximately $1000 a site licence for a commercial GIS software package, fully functional open access/source GIS is a very attractive alternative to libraries, students and other potential users. In addition, there is more open geospatial data being made available. This session will detail open access GIS and available data. (It will not focus on the coding of the open source GIS.)",talk,GIS,,,
2010,2010-10-14,1:30-2:00,"James McDonald (UNBC, Prince George, BC) |  Carolee Clyne (UNBC, Prince George, BC)",Mobile Technologies: iRoam,UNBC library is finally confident that there is a mobile device capable of making roaming reference services both easy and enjoyable; is our confidence justified? This session will explore a pilot project at UNBC library to offer roaming reference services using Apple's new iPad. The session will cover the technical difficulties encountered (security and networking issues) as well as issues around training and marketing the service.,talk,"mobile, reference",,,
2010,2010-10-14,2:00-2:30,"Rob Zylstra (Yellowhead Regional Library, Spruce Grove, AB)",Mobile Technologies: Goin' Mobile,"The mobile revolution is here. With the passing of each month, library patrons expect more from their library, whether that be the convenience of searching for a book while riding the bus or paying fines online. Driving these expectations are businesses who invest in technology to bring their products conveniently close to consumers. Is your library ready to compete with major league companies armed with massive marketing budgets? How important is it for your library to market a mobile platform for your patrons? Yellowhead Regional Library, an Alberta library system that serves 44 public libraries, has identified mobile technology as an achievable goal for 2010. Many of the libraries that are part of the region are in growing municipalities with increasing technological expectations, so providing new and innovative approaches to library service has become a priority. Together with technology partners Polaris Library Systems and HybridForge, Yellowhead Regional Library released an iPhone/iPod Touch App in March and an iPad App in May. Attend this session to learn more about how and why Yellowhead Regional Library released a mobile catalogue, as well as what they have in store for the future.",talk,"mobile, app",,,
2010,2010-10-14,2:30-3:15,Karen Coombs (OCLC),Enhancing Library User Interfaces with Web Services,"Past library discovery tools were focused on information held in local systems such as the Integrated Library. However, increasingly library users have desired better information to make decisions. As a result, more recent discovery tools have grown to include information from external sites and services such as Amazon. Today there are a variety of web services which can provide data which can be used to enhance library discovery interfaces. Open Library contains bibliographic data, covers, and author information. LibraryThing offers covers, ratings, awards and honors and a variety of other metadata. The New York Times offers an API for their best seller lists, movie reviews, and articles. OCLC Web Services such as xISSN, WorldCat Search API, WorldCat Identities, and the WorldCat Registry provide a variety of data which can be used to enhance and improve current library discovery interfaces. This talk will discuss several simple ideas to improve current users interfaces using data from these web services. Javascript and PHP code to add journal of table of contents information, peer-reviewed journal designation, links to other libraries in the area with a book, also available as, info about this author, covers, reviews and ratings, similar items will be discussed.",talk,"OCLC, WorldCat, API",,,
2010,2010-10-14,3:45-4:30,"Dan Scott (Laurentian University, Sudbury, ON)",Standard Social Sharing and Aggregation on the Go,"Web applications such as Google Buzz, Facebook, and others are working on interoperability standards such as Activity Streams, XFN, and Salmon for publishing and aggregating social conversations in a semantically meaningful manner. These conversations increasingly take place on mobile devices, adding location awareness to the mix. This session exposes the current state of the relevant standards and explores the possibilities of enabling library applications such as resolvers, catalogues, and mobile reading devices to participate in the wider social sphere.",talk,"social media, standards, sharing",,,
2010,2010-10-14,4:30-5:15,"Brent Nelson (U Saskatchewan, Saskatoon, SK) | Craig Harkema (U Saskatchewan, Saskatoon, SK)",A New Model for Publishing the Scholarly Electronic Edition,"The standard model for publishing digital editions of literary works has three major problems to contend with: a long lag time between initiation of the project and publication of results; unsustainable demands of time and financial resources; and the almost complete invisibility of the resource to the scholarly audience that they are prepared for. This paper proposes a publishing model that is closely integrated with the university library for the acquisition and preparation of materials in the form of digitized facsimiles of original printings; for storage and public access to the digitized material; and, most importantly, for making the published material easily findable by adding its metadata in the host library's catalogue and thus, ultimately, WorldCat and Google Books. The John Donne Society's Digital Text Project proposes such a model for its first line of publications in collaboration with the special collections department of the University of Saskatchewan's Murray Library and Texas A & M's Cushing Memorial Library and Archives. This paper will elaborate the rationale for this model in light of the changing role of university libraries and the new importance placed on cooperation between teaching faculty and librarians. It will then outline the proposed model for collaboration between the John Donne Society's Digital Text Project and the these university libraries, illustrated with samples of the e-books that will be produced. Rather than fully featured Web-editions, these will be down-loadable e-books in pdf format produced by XSLT transformations of lightly encoded texts using TEI (Text Encoding Initiative) markup in XML. This first line of publications will enable the JDS Digital Text Project to begin producing texts quickly with minimal commitment of resources, and, most importantly, these e-books will be catalogued and searchable like any other book in the university's catalogue system.",talk,"scholarly publishing, ebooks",,,
2010,2010-10-15,8:30-9:30,Maureen Doyle (Heritance and Open Museum),Mobeum: Open Museum's Mobile Service,"Executive Director of Heritance and founding member of the Open Museum team Maureen Doyle, will discuss the Open Museum’s Mobile service, Mobeum. She will present the outcomes of Mobeum pilot projects, including the Hood Museum of Art at Dartmouth College. Maureen will explore preferences, challenges, and barriers to use for the various participants (including visitors, our museum partners and Open Museum itself) and look at the lessons learned about the technical, content, and social aspects of a mobile Web access project in museums. Furthermore, Maureen will explain the relationship between Mobeum and Open Museum, a not-for-profit participatory exhibit space that allows any not-for-profit cultural organization to share their collections and engage their audience online.",talk,"museums, mobile",,,
2010,2010-10-15,9:30-10:15,Andrew Nagy (Serials Solutions) | Charles Lowell  (Serials Solutions),A peek at the development of Web-scale Discovery,"A unified index for searching the entire library collections is what we have all be dreaming about for years.  Many have attempted, few have succeeded – it is a very expensive and difficult undertaking.  At Serials Solutions, we have accomplished just that with Summon.  This talk will review our agile development strategies and how we involve user feedback in development, how we acquire such a massive amount of content, how we keep relevancy tuned as well as a look at the core of our functionality, the Summon API.",talk,"discovery, agile development",,,
