year,date,time,speakers,title,abstract,type,tags,slides,video,audio
2009,2009-10-01,8:30-9:30,Cory Doctorow (Boing Boing),Copyright vs Universal Access to All Human Knowledge and Groups Without Cost: The State of Play in the Global Copyfight,"The Internet promises the realization of two of humanity's noblest dreams: universal access to all human knowledge and the capacity to form and coordinate groups at virtually no cost. As great as this sounds, it's bad news for certain kinds of top-heavy organizations and the kinds of companies that got rich on exclusion from information. From the UN to shady back-room ""plurilateral"" treaty negotiations, from the blogosphere to staid standards-committees, the fight over the future rages, with diplomacy and activism at its core.",keynote,,,,
2009,2009-10-01,9:30-10:15,"Richard Akerman (National Research Council, Ottawa)",Will We Command Our Data? ,"This presentation provides an overview of recent drivers contributing to the increasing availability of datasets from four sources: research, government, libraries and individuals.  Libraries now have to be able to manage datasets from the petabyte-sized outputs of big science, down to the small individual data files that may be part of the new cultural record.  The presentation also discusses some recent activities related to datasets and the implications for libraries.","talk, binkley",,,,
2009,2009-10-01,10:45-11:05,"Mark Jordan (Simon Fraser University, Burnaby, BC)", COPPUL's LOCKSS Private Network,COPPUL (the Council of Prairie and Pacific University Libraries) has implemented a LOCKSS Private Network to aid members in their digital preservation activities. This presentation will provide an overview of the COPPUL initiative and will focus on some of the technical aspects of preserving various types of contents using LOCKSS.,talk,,,,
2009,2009-10-01,11:05-11:30,"Brian Owen (Simon Fraser University, Burnaby, BC)",Software Lifecycles & Sustainability: a PKP and reSearcher Update,"The PKP and reSearcher open source software suites have witnessed a significant expansion and uptake during the past few years. This presentation will address the software lifecycle (e.g. zombieware) and sustainability issues that invariably arise with many software development projects, especially open source initiatives. At the same time, it will provide an update on the status of various PKP and reSearcher modules that are illustrative of these larger concerns.",talk,,,,
2009,2009-10-01,1:00-1:45,"Dan Chudnov (Library of Congress, Washington, DC)",Chudnovian Stuff ,"The Repository Development Group at the Library of Congress builds infrastructure and applications which support digital content transfer, ingest, access, and preservation functions. In 2009 we have been active in several areas:  multi-lingual access to rich historical items from around the world in the World Digital Library (http://wdl.org/), historical U.S. newspapers in Chronicling America (http://chroniclingamerica.loc.gov/), and infrastructure development for automating the workflow of content receipt, ingest, validation, inventorying, and deployment.  We also began to release software under Open Source Initiative-approved licenses (http://sourceforge.net/projects/loc-xferutils/) and continued working on specifications such as BagIt (http://www.digitalpreservation.gov/library/challenge/data-transfer.html) as well as promoting Linked Data at LC through Chronicling America and the Authorities and Vocabularies service (http://id.loc.gov/). I'll review these activities and highlight some lessons we've learned along the way, and describe some of the things we'll be working on next.",talk,,,,
2009,2009-10-01,1:45-2:30,"Donald Moses (UPEI, Charlottetown, PEI), Paul Pound (UPEI, Charlottetown, PEI)",IslandLives: A Flexible Digital Repository Framework,"In 2008 the Robertson Library received a private donation “to develop a rich repository of the history of the people of Prince Edward Island”. We have completed the first stage of the project - the digitization of all of the published community histories on Prince Edward Island - and have been focused on developing and integrating a storage, search, and discovery system based on Islandora - middleware that connects the Drupal CMS and the Fedora repository framework. We'll discuss various facets of the project including: digital rights, automating workflows for data processing, developing user tools (image viewer and metadata editor), engaging the community, security and issues we have had along the way.",talk,,,,
2009,2009-10-01,2:30-3:15,"Stevan Harnad (UQAM, Montreal)",Grasping What is Already Within Immediate Reach: Universal Open Access Mandates,"Open Access (OA) means free online access to peer-reviewed journal articles (about 2.5 million articles per year, published in about 25,000 journals across all scholarly and scientific disciplines) in order to maximize the usage and impact of research by making it freely accessible to all potential users and not just those whose institutions that can afford to subscribe to the journal in which it happens to be published.There are two ways to provide OA:(1) publish in an OA journal, which makes all its articles free online (""Gold OA""); or(2) publish in a conventional, subscription-based journal, but make the peer-reviewed final draft free online by ""self-archiving"" it in your institution's OA repository immediately upon acceptance for publication (""Green OA""). Gold OA depends on publishers and entails author publication fees if subscriptions do not cover publication costs. Green OA entails no extra cost, depends only on authors, and can be and is being mandated by their universities and research funders. Yet, for some reason, it is always Gold OA that keeps capturing the imagination and attention of all concerned (""gold fever""). Universal OA is long overdue even though it is already within the research community's immediate reach. I will argue that OA's biggest and most important priority today, and the one that will deliver universal OA swiftly and without certainty, is hence the immediate universal adoption of Green mandates by universities and funders. All the rest (publication reform, copyright reform) will come with the territory, with universal Green OA. But not if we keep failing to grasp what is already fully within our reach.",talk,,,,
2009,2009-10-01,3:45-4:07,Roy Tennant (OCLC),ILS in the Sky with Diamonds,"Cloud computing has become all the rage, but what does it mean, and how will it impact libraries? What does it mean to move library management services to the cloud? What are the potential benefits and drawbacks? What are some of the emerging options and how do they differ? These questions and more will be explored in a look at cloud computing for libraries, and some specific solutions in particular.

",talk,,,,
2009,2009-10-01,4:08-4:30,Mike Rylander (Equinox Software),OS ILS ,,talk,,,,
2009,2009-10-02,8:30-9:15,Peter Rukavina (Reinvented Inc.), Applications vs. Capabilities,"(Originally titled Infinite Malleability: Porting What We've Learned From the Digital World into Real Life)

Open Air Museum
Brede Vaerk
Danish Royal Library
Danish Art and Design Museum",talk,,,,
